Age,Gender,Time
36,"{'Woman': np.float32(12.905723), 'Man': np.float32(87.09428)}",2025-08-01 09:00:33
36,"{'Woman': np.float32(12.794775), 'Man': np.float32(87.20522)}",2025-08-01 09:00:33
36,"{'Woman': np.float32(12.777814), 'Man': np.float32(87.22219)}",2025-08-01 09:00:34
36,"{'Woman': np.float32(12.733598), 'Man': np.float32(87.266396)}",2025-08-01 09:00:36
36,"{'Woman': np.float32(12.958741), 'Man': np.float32(87.04126)}",2025-08-01 09:00:37
36,"{'Woman': np.float32(12.872858), 'Man': np.float32(87.12714)}",2025-08-01 09:00:39
36,"{'Woman': np.float32(12.880102), 'Man': np.float32(87.1199)}",2025-08-01 09:00:40
36,"{'Woman': np.float32(12.799909), 'Man': np.float32(87.200096)}",2025-08-01 09:00:41
36,"{'Woman': np.float32(12.729259), 'Man': np.float32(87.270744)}",2025-08-01 09:00:42
36,"{'Woman': np.float32(12.678771), 'Man': np.float32(87.32123)}",2025-08-01 09:00:43
36,"{'Woman': np.float32(12.901494), 'Man': np.float32(87.09851)}",2025-08-01 09:00:44
36,"{'Woman': np.float32(12.714076), 'Man': np.float32(87.28593)}",2025-08-01 09:00:45
36,"{'Woman': np.float32(12.814983), 'Man': np.float32(87.18502)}",2025-08-01 09:00:46
36,"{'Woman': np.float32(12.771021), 'Man': np.float32(87.22898)}",2025-08-01 09:00:47
36,"{'Woman': np.float32(12.658183), 'Man': np.float32(87.34182)}",2025-08-01 09:00:48
35,"{'Woman': np.float32(12.7788725), 'Man': np.float32(87.22113)}",2025-08-01 09:00:49
36,"{'Woman': np.float32(12.633179), 'Man': np.float32(87.36682)}",2025-08-01 09:00:50
